# dx dy dz rx ry rz dgrip
0.000027 0.000015 0.000165 0.000412 0.000114 -0.000080 0.000000
-0.000015 0.000059 0.000293 0.000599 0.000026 -0.000024 0.000000
-0.000011 0.000092 0.000399 0.000798 0.000026 -0.000108 0.000000
-0.000002 0.000102 0.000529 0.001029 -0.000001 -0.000177 0.000000
-0.000057 0.000098 0.000469 0.000897 -0.000168 -0.000153 0.000000
-0.000022 0.000101 0.000345 0.000609 -0.000363 -0.000277 0.000000
-0.000050 0.000118 0.000379 0.000640 -0.000533 -0.000179 0.000000
-0.000054 0.000140 0.000278 0.000373 -0.000629 -0.000242 0.000000
-0.000067 0.000124 0.000220 0.000224 -0.000611 -0.000171 0.000000
-0.000040 0.000132 0.000282 0.000313 -0.000558 -0.000155 0.000000
-0.000102 0.000139 0.000391 0.000527 -0.000465 -0.000064 0.000000
-0.000027 0.000114 0.000340 0.000464 -0.000348 -0.000104 0.000000
-0.000072 0.000104 0.000314 0.000477 -0.000516 -0.000068 0.000000
-0.000040 0.000110 0.000220 0.000278 -0.000493 -0.000062 0.000000
-0.000080 0.000080 0.000200 0.000270 -0.000603 -0.000056 0.000000
-0.000079 0.000089 0.000227 0.000333 -0.000579 0.000008 0.000000
-0.000073 0.000118 0.000294 0.000431 -0.000567 -0.000034 0.000000
-0.000057 0.000195 0.000422 0.000607 -0.000335 0.000024 0.000000
-0.000043 0.000315 0.000694 0.000938 -0.000108 -0.000047 0.000000
-0.000048 0.000541 0.001097 0.001422 0.000068 -0.000075 0.000000
-0.000042 0.000754 0.001479 0.001799 0.000300 -0.000088 0.000000
-0.000049 0.001155 0.002169 0.002460 0.000506 0.000072 0.000000
-0.000079 0.001532 0.002668 0.002325 0.000712 0.000111 0.000000
-0.000061 0.001827 0.002838 0.001272 0.000775 0.000055 0.000000
-0.000105 0.002382 0.003301 -0.000034 0.000728 0.000032 0.000000
-0.000120 0.002750 0.003616 -0.001393 0.000665 -0.000043 0.000000
-0.000163 0.002874 0.003684 -0.002633 0.000491 -0.000075 0.000000
-0.000116 0.002708 0.003170 -0.004380 0.000380 -0.000206 0.000000
-0.000154 0.002673 0.002809 -0.006896 0.000284 -0.000212 0.000000
-0.000105 0.002367 0.002526 -0.007708 0.000200 -0.000391 0.000000
-0.000106 0.002176 0.002201 -0.007708 0.000068 -0.000450 0.000000
-0.000121 0.001757 0.002196 -0.007708 0.000049 -0.000417 0.000000
-0.000119 0.001738 0.002319 -0.007708 -0.000013 -0.000546 0.000000
-0.000137 0.001500 0.002311 -0.007708 -0.000167 -0.000527 0.000000
-0.000089 0.001364 0.001991 -0.007708 -0.000121 -0.000545 0.000000
-0.000129 0.001376 0.001870 -0.007708 -0.000232 -0.000522 0.000000
-0.000066 0.001244 0.001578 -0.007708 -0.000212 -0.000569 0.000000
-0.000112 0.001194 0.001392 -0.007708 -0.000139 -0.000447 0.000000
-0.000083 0.000994 0.001486 -0.007604 -0.000109 -0.000345 0.000000
-0.000088 0.001040 0.001823 -0.006805 -0.000092 -0.000332 0.000000
-0.000128 0.000993 0.002264 -0.004903 -0.000097 -0.000103 0.000000
-0.000138 0.000908 0.002682 -0.002754 -0.000110 -0.000056 0.000000
-0.000201 0.000810 0.002879 -0.000993 -0.000248 0.000128 0.000000
-0.000272 0.000801 0.003388 0.000376 -0.000272 0.000246 0.000000
-0.000413 0.000712 0.003658 0.001734 -0.000370 0.000530 0.000000
-0.000551 0.000540 0.003564 0.002694 -0.000542 0.000713 0.000000
-0.000708 0.000389 0.003848 0.003650 -0.000601 0.000974 0.000000
-0.000796 0.000108 0.003755 0.003964 -0.000569 0.001095 0.000000
-0.000827 -0.000207 0.003851 0.004088 -0.000455 0.001180 0.000000
-0.000766 -0.000381 0.003800 0.003372 -0.000439 0.001112 0.000000
-0.000734 -0.000623 0.004275 0.002647 -0.000524 0.001026 0.000000
-0.000667 -0.000795 0.004545 0.001500 -0.000603 0.000865 0.000000
-0.000558 -0.000807 0.004338 0.000319 -0.000584 0.000792 0.000000
-0.000508 -0.000830 0.004424 -0.001188 -0.000720 0.000748 0.000000
-0.000470 -0.000944 0.004439 -0.002045 -0.000762 0.000731 0.000000
-0.000387 -0.001088 0.004378 -0.001668 -0.000712 0.000628 0.000000
-0.000301 -0.000825 0.003649 -0.002727 -0.000735 0.000504 0.000000
-0.000267 -0.000972 0.003633 -0.002098 -0.000637 0.000418 0.000000
-0.000260 -0.001033 0.003470 -0.001373 -0.000551 0.000380 0.000000
-0.000227 -0.000792 0.003221 -0.001170 -0.000459 0.000322 0.000000
-0.000179 -0.000577 0.002743 -0.000606 -0.000334 0.000317 0.000000
-0.000186 -0.000470 0.002894 0.000237 -0.000180 0.000225 0.000000
-0.000194 -0.000385 0.003239 0.001487 -0.000046 0.000338 0.000000
-0.000144 -0.000273 0.003183 0.002200 -0.000018 0.000209 0.000000
-0.000131 -0.000147 0.003459 0.002971 0.000028 0.000209 0.000000
-0.000131 -0.000095 0.003434 0.003538 0.000016 0.000218 0.000000
-0.000136 -0.000068 0.003228 0.003770 0.000042 0.000221 0.000000
-0.000118 -0.000049 0.002714 0.003458 0.000036 0.000043 0.000000
-0.000107 -0.000077 0.002617 0.003683 0.000024 -0.000171 0.000000
-0.000072 -0.000140 0.002418 0.003656 0.000040 -0.000312 0.000000
-0.000101 -0.000257 0.002100 0.003415 -0.000058 -0.000366 0.000000
-0.000078 -0.000389 0.002012 0.003480 -0.000042 -0.000584 0.000000
-0.000072 -0.000577 0.001840 0.003535 0.000048 -0.000710 0.031373
-0.000093 -0.001184 0.002331 0.005149 0.000065 -0.001272 0.000000
